pid,gender,year,age,school,marriage,income,job,relig,pet,cell,cellnum,featurephone,smartphone,kidsphone,smart_or_not,tablet,tabletnum,wearable,wearablenum,phonebill,payapp,inapp_pay,theater,theaterpay,play,playpay,OTT,OTT_phone,OTT_tablet,OTT_PC,OTT_others,OTT_freq,OTT_hour,OTT_min,Newspaper,email,messanger,blog,cloud,SNS
730001,1,1961,58,5,2,10,1,1,1,1,1,0,1,0,3,2, ,2, ,58,2,2,3,30,1,0,2, , , , , , , ,1,1,1,1,1,1
730002,2,1965,54,5,2,6,1,2,1,1,1,0,1,0,3,2, ,2, ,42,2,1,7,70,2,80,2, , , , , , , ,2,1,1,1,1,1
740001,1,1964,55,5,2,11,1,1,2,1,1,0,1,0,2,2, ,2, ,52,2,2,4,40,2,50,1,1,2,1,2,1,0,30,2,1,1,2,2,2
740002,2,1968,51,4,2,1,2,1,2,1,1,0,1,0,2,2, ,2, ,34,2,2,4,40,5,40,1,1,2,2,2,1,1,30,1,1,1,1,1,1
750002,2,1963,56,5,2,1,2,1,2,1,1,0,1,0,3,2, ,2, ,38,2,2,2,20,3,50,1,1,2,2,2,1,1,0,1,1,1,2,2,2
750004,2,1993,26,5,2,5,1,1,2,1,1,0,1,0,3,2, ,2, ,38,2,2,6,60,5,150,1,1,2,1,2,1,0,30,1,1,1,1,1,1
760002,2,1965,54,4,2,6,1,2,2,1,1,0,1,0,3,2, ,2, ,52,2,2,4,40,1,140,1,1,2,2,2,2,0,10,1,1,1,2,2,1
770001,1,1942,77,4,2,4,1,1,1,1,1,0,1,0,3,2, ,2, ,39,2,2,1,10,1,50,2, , , , , , , ,1,2,1,2,2,2
770002,2,1945,74,2,2,1,2,1,1,1,1,0,1,0,3,2, ,2, ,35,2,2,2,23,1,50,2, , , , , , , ,2,2,2,2,2,2
780001,1,1933,86,3,2,1,2,2,1,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
780002,2,1932,87,2,2,1,2,2,1,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
810001,1,1950,69,4,2,2,2,1,2,1,1,1,0,0, ,2, ,2, ,35,2,2,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
810002,2,1955,64,4,2,3,1,1,2,1,1,0,1,0,3,2, ,2, ,40,2,2,2,30,0, ,2, , , , , , , ,2,2,1,2,2,2
810101,1,1990,29,5,1,6,1,2,2,1,1,0,1,0,3,2, ,1,1,48,1,2,5,100,1,30,1,2,2,1,2,5,0,30,1,1,1,2,1,1
820001,1,1970,49,5,2,9,1,2,2,1,1,0,1,0,3,2, ,2, ,69,2,2,2,15,0, ,2, , , , , , , ,1,1,1,2,1,1
820002,2,1973,46,5,2,4,1,2,2,1,1,0,1,0,3,2, ,2, ,39,2,1,3,20,0, ,2, , , , , , , ,1,1,1,2,1,1
820003,1,2002,17,4,1,1,2,2,2,1,1,0,1,0,3,2, ,2, ,69,2,2,2,15,0, ,2, , , , , , , ,1,1,1,2,1,1
